logFC	p-value	q-value	SYMBOL
0.36	0.21	0.52	BDKRB1
0.36	0.21	0.52	BDKRB2
-0.08	0.21	0.52	GTF2B
0.26	0.21	0.52	NA
0.16	0.21	0.52	ANKRD6
0.9	0.21	0.52	ALOX15B
0.22	0.21	0.52	UBTD2
-0.1	0.21	0.52	ZBTB24
0.32	0.21	0.52	PPEF2
-0.1	0.21	0.52	FBXO6
-0.1	0.21	0.52	FBXO44
-0.11	0.21	0.52	EPHX3
0.08	0.21	0.52	COPS7B
-0.14	0.21	0.52	ZNF624
-0.12	0.21	0.52	ZNF32
0.11	0.21	0.52	CNOT8
-0.09	0.21	0.52	MGAT4B
0.18	0.21	0.52	RPGRIP1L
-0.09	0.22	0.52	MAP4K3
0.43	0.22	0.52	LMO3
-0.57	0.22	0.52	LOC782922
-0.47	0.22	0.52	IFITM10
0.12	0.22	0.52	DENR
-0.12	0.22	0.52	ZNF2
0.17	0.22	0.52	ALG8
0.12	0.22	0.52	C1D
-0.15	0.22	0.52	TTC19
0.43	0.22	0.52	GPR33
0.4	0.22	0.52	NA
-0.35	0.22	0.52	GSR
0.16	0.22	0.52	TMED8
0.24	0.22	0.52	CTSS
0.24	0.22	0.52	CTSK
0.24	0.22	0.52	ARNT
-0.11	0.22	0.52	WBP4
-0.22	0.22	0.52	SPA17
0.16	0.22	0.52	GNG2
-1.02	0.22	0.52	NA
0.75	0.22	0.52	NA
-0.12	0.22	0.52	NFKB1
0.13	0.22	0.52	RINT1
0.1	0.22	0.52	MTRR
-0.27	0.22	0.52	LOC512486
0.18	0.22	0.52	MPDZ
-0.14	0.22	0.52	POLR2F
0.08	0.22	0.52	ATXN2L
0.23	0.22	0.52	FAR1
-0.48	0.22	0.52	SCN4B
-0.12	0.22	0.52	ZFAND2A
0.29	0.22	0.52	RERG
-0.23	0.22	0.52	NA
0.18	0.22	0.52	MGST1
0.24	0.22	0.52	COL18A1
-0.1	0.22	0.52	ATP6V1G1
0.24	0.22	0.52	C24H18orf54
0.43	0.22	0.52	NA
-0.08	0.22	0.52	CCNY
0.09	0.22	0.52	ZNF581
0.09	0.22	0.52	CCDC106
-0.09	0.22	0.52	SMAD2
-0.08	0.22	0.52	C23H6orf106
0.38	0.22	0.52	COL5A3
0.41	0.22	0.52	GATA5
-0.57	0.22	0.52	NA
0.08	0.22	0.52	ATXN7L3
-0.28	0.22	0.52	NA
-0.17	0.22	0.52	NA
0.23	0.22	0.52	KIAA1614
0.1	0.22	0.52	CDC16
-0.15	0.22	0.52	LOC539802
-0.29	0.22	0.52	HSPA1B
-0.09	0.22	0.52	ARHGEF1
0.22	0.22	0.52	SLC35B4
-0.09	0.22	0.52	LAPTM4A
0.25	0.22	0.52	AUTS2
0.13	0.22	0.52	ACOT13
-0.1	0.22	0.52	TBC1D22B
0.24	0.22	0.52	TEX14
0.41	0.22	0.52	SLC38A1
0.17	0.22	0.52	ARHGAP25
0.08	0.22	0.52	HNRNPM
0.25	0.22	0.52	FAM124B
0.36	0.22	0.52	CES4A
-0.1	0.22	0.52	TTPA
-0.1	0.22	0.52	GGH
-0.21	0.22	0.52	NA
-0.53	0.22	0.52	LGALS7B
0.25	0.22	0.52	HSPH1
-0.21	0.22	0.52	MANF
-0.21	0.22	0.52	DOCK3
-0.35	0.22	0.52	SGPP2
-0.15	0.22	0.52	NA
0.12	0.22	0.52	ZNF383
-0.25	0.22	0.52	LOC527186
0.25	0.22	0.52	ISLR
0.3	0.22	0.52	NA
0.59	0.22	0.52	B3GALNT1
0.32	0.22	0.52	ART4
0.32	0.22	0.52	SMCO3
-0.07	0.22	0.52	MTMR3
-0.44	0.22	0.52	NA
0.19	0.22	0.52	NANS
0.33	0.22	0.52	PHOX2A
-0.16	0.22	0.52	ZNF584
0.43	0.22	0.53	SHANK2
0.1	0.22	0.53	DLG1
0.11	0.22	0.53	ECM1
0.11	0.22	0.53	RPRD2
0.11	0.22	0.53	TARS2
0.6	0.22	0.53	SLC16A1
0.1	0.22	0.53	POC5
0.17	0.22	0.53	ATP5G1
0.23	0.22	0.53	TMIGD3
0.23	0.22	0.53	ADORA3
-0.2	0.22	0.53	TSR3
0.42	0.22	0.53	NA
0.25	0.22	0.53	RNF208
0.62	0.22	0.53	SHISA2
-0.11	0.22	0.53	UNC50
0.09	0.22	0.53	THOC1
-0.44	0.22	0.53	ELOVL2
-0.13	0.22	0.53	ZNF655
0.3	0.22	0.53	SNORA33
0.37	0.22	0.53	NFE2
0.52	0.22	0.53	MIR147
0.52	0.22	0.53	C10H15orf48
0.13	0.22	0.53	FAAP24
0.05	0.22	0.53	AHCYL1
0.41	0.22	0.53	SLC35G2
0.13	0.22	0.53	TIGD2
-0.36	0.22	0.53	KCNJ11
0.21	0.22	0.53	ACO1
0.3	0.22	0.53	GAS1
0.11	0.22	0.53	SEH1L
0.39	0.22	0.53	NA
-0.72	0.22	0.53	NPR3
0.15	0.22	0.53	KHK
-0.13	0.22	0.53	SMIM14
-0.28	0.22	0.53	SNORA81
-0.1	0.22	0.53	PSMD9
-0.12	0.22	0.53	TIMM50
-0.28	0.22	0.53	COBL
0.14	0.22	0.53	PRIMPOL
0.25	0.23	0.53	LOC781298
-0.35	0.23	0.53	LHFPL4
0.1	0.23	0.53	NUCKS1
0.54	0.23	0.53	NA
0.15	0.23	0.53	DNAJC30
0.19	0.23	0.53	H2AFZ
-0.16	0.23	0.53	SESN1
0.43	0.23	0.53	NTN1
0.21	0.23	0.53	POLD1
0.31	0.23	0.53	CDH13
0.24	0.23	0.53	C10orf128
0.14	0.23	0.53	TCFL5
0.12	0.23	0.53	ZNF512
-0.2	0.23	0.53	NA
0.11	0.23	0.53	GTF3C4
-0.13	0.23	0.53	PDCD5
0.12	0.23	0.53	DNAL1
0.32	0.23	0.53	LNP1
0.3	0.23	0.53	SCRG1
-0.14	0.23	0.53	DENND2C
0.15	0.23	0.53	ZMIZ1
-0.13	0.23	0.53	PSMB7
0.12	0.23	0.53	CDC7
0.19	0.23	0.53	FAM188B
0.14	0.23	0.53	DOK4
-0.27	0.23	0.53	NIPAL2
0.25	0.23	0.53	NA
0.24	0.23	0.53	DCLK2
0.12	0.23	0.53	HNRNPH1
-0.11	0.23	0.53	NA
-0.14	0.23	0.53	AIG1
-0.11	0.23	0.53	PIGP
0.63	0.23	0.53	SPIC
0.26	0.23	0.53	NA
-0.19	0.23	0.53	SIK2
0.24	0.23	0.53	MS4A7
0.1	0.23	0.53	PHRF1
-0.25	0.23	0.53	EML5
-0.12	0.23	0.53	ACTR3
0.29	0.23	0.53	SLAMF7
0.29	0.23	0.53	NA
-0.09	0.23	0.53	C26H10orf76
-0.09	0.23	0.53	ELMSAN1
0.08	0.23	0.53	ANKRD23
0.08	0.23	0.53	ANKRD39
0.41	0.23	0.53	CD79B
-0.12	0.23	0.53	RPS3A
0.27	0.23	0.53	STAB1
0.11	0.23	0.53	SDHAF2
-0.53	0.23	0.53	NA
0.12	0.23	0.53	WDR76
-0.11	0.23	0.53	NACA
-0.11	0.23	0.53	PRIM1
-0.24	0.23	0.53	C10H14orf1
0.11	0.23	0.53	TRA2B
0.41	0.23	0.53	DLL3
-0.22	0.23	0.53	NDUFAF2
0.32	0.23	0.53	NA
0.71	0.23	0.53	NWD1
-0.26	0.23	0.53	TBXA2R
0.36	0.23	0.53	NA
0.12	0.23	0.53	PUDP
0.19	0.23	0.53	PELI2
0.14	0.23	0.53	NARFL
0.44	0.23	0.53	CXHXorf57
-0.18	0.23	0.53	NXN
-0.12	0.23	0.53	VRK2
0.25	0.23	0.53	LGI4
-0.92	0.23	0.53	AVPR2
0.59	0.23	0.53	ACTL8
-0.08	0.23	0.53	WDR48
-0.37	0.23	0.53	ACOXL
0.07	0.23	0.53	FAM53C
0.07	0.23	0.53	MIR2459
0.31	0.23	0.53	DHRS11
-0.11	0.23	0.53	DGKD
0.26	0.23	0.53	OLFML3
-0.34	0.23	0.53	NA
-0.08	0.23	0.53	CCDC6
-0.09	0.23	0.53	COPS8
-0.5	0.23	0.53	NA
-0.3	0.23	0.53	RELN
0.13	0.23	0.53	TWISTNB
-0.11	0.23	0.54	DYNLT3
0.22	0.23	0.54	HIGD1B
0.66	0.23	0.54	DGAT2
0.17	0.23	0.54	ZNF527
-0.12	0.23	0.54	RPS23
-0.2	0.23	0.54	BCL2
0.74	0.23	0.54	MDGA1
0.08	0.23	0.54	CNOT4
0.12	0.23	0.54	TYW5
0.61	0.23	0.54	BST1
-0.15	0.23	0.54	RPL37
-0.12	0.23	0.54	TCP11L1
-0.12	0.23	0.54	DEPDC7
-0.14	0.23	0.54	CENPB
-0.14	0.23	0.54	ABI3
0.21	0.23	0.54	GLI2
0.12	0.23	0.54	ZNF518B
-0.11	0.23	0.54	PARP2
0.54	0.23	0.54	NA
-0.23	0.23	0.54	LOC101907835
0.09	0.23	0.54	MOB4
0.15	0.23	0.54	CATSPER2
0.19	0.23	0.54	UNG
0.26	0.23	0.54	SLC27A5
0.22	0.23	0.54	AKR1B1
0.12	0.23	0.54	FASTKD2
0.37	0.23	0.54	NA
0.19	0.23	0.54	SLC4A7
0.13	0.23	0.54	IRAK3
-0.07	0.23	0.54	NA
-0.19	0.23	0.54	RDH14
0.24	0.23	0.54	NA
0.15	0.23	0.54	NOC3L
-0.1	0.23	0.54	RBL2
-0.15	0.23	0.54	PKN3
0.23	0.23	0.54	BRB
0.23	0.23	0.54	RNASE1
0.13	0.23	0.54	PNO1
-0.46	0.23	0.54	TPD52L1
-0.09	0.23	0.54	ITCH
-0.29	0.23	0.54	ZNF750
-0.11	0.23	0.54	GJC2
-0.11	0.23	0.54	GUK1
-0.42	0.23	0.54	NA
0.31	0.23	0.54	SNORA13
0.21	0.23	0.54	COA1
-0.1	0.23	0.54	RMDN3
0.6	0.23	0.54	SPHKAP
-0.18	0.23	0.54	RNF170
0.11	0.23	0.54	ASTE1
0.31	0.23	0.54	POLM
0.35	0.23	0.54	CRIP3
0.36	0.23	0.54	CFAP100
0.17	0.23	0.54	CYP4V2
0.26	0.23	0.54	KDR
0.3	0.23	0.54	IL7
-0.09	0.23	0.54	HMBOX1
0.13	0.23	0.54	ATF7IP
-0.1	0.23	0.54	BRCC3
0.93	0.23	0.54	CDH19
-0.13	0.23	0.54	NA
0.31	0.23	0.54	PRR36
-0.13	0.23	0.54	LOC100848353
-0.17	0.23	0.54	INPP5E
-0.12	0.23	0.54	FANCE
-0.11	0.23	0.54	PIGW
0.14	0.23	0.54	GEMIN2
0.46	0.23	0.54	CHRND
-0.17	0.23	0.54	EMC3
-0.12	0.23	0.54	LRRC57
0.1	0.23	0.54	PPTC7
0.32	0.23	0.54	NA
0.46	0.23	0.54	OLFM2
0.33	0.23	0.54	FAM189A2
-0.09	0.23	0.54	TMEM131
0.1	0.23	0.54	TIMM13
0.37	0.23	0.54	NA
0.26	0.24	0.54	SH3PXD2B
0.32	0.24	0.54	NA
-0.52	0.24	0.54	NA
-0.16	0.24	0.54	SRI
-0.23	0.24	0.54	B3GNT7
-0.4	0.24	0.54	TRPA1
0.55	0.24	0.54	NA
0.24	0.24	0.54	B4GALT4
0.1	0.24	0.54	QRSL1
-0.14	0.24	0.54	PLEKHO1
-0.16	0.24	0.54	HINT2
-0.18	0.24	0.54	NA
-0.09	0.24	0.54	ZNF706
0.1	0.24	0.54	SPTLC2
-0.26	0.24	0.54	NA
-0.12	0.24	0.54	CDC37
0.12	0.24	0.54	HSCB
0.12	0.24	0.54	CCDC117
-0.29	0.24	0.54	CCL14
0.65	0.24	0.54	CP
0.1	0.24	0.54	COG8
0.1	0.24	0.54	PDF
0.22	0.24	0.54	RALGAPA2
0.3	0.24	0.54	AHR
-0.17	0.24	0.54	NA
-0.22	0.24	0.54	ZBTB37
0.59	0.24	0.54	SLC22A3
0.14	0.24	0.54	GID4
0.16	0.24	0.54	ZNRD1
-0.08	0.24	0.54	SPG11
0.1	0.24	0.54	TRNAU1AP
0.17	0.24	0.54	snosnR61
0.09	0.24	0.54	ZBTB2
-0.39	0.24	0.54	TMEM229B
-0.44	0.24	0.54	GFPT2
0.55	0.24	0.54	TPC3
0.18	0.24	0.54	NA
0.44	0.24	0.54	NA
0.25	0.24	0.54	STK32C
-0.14	0.24	0.54	RPS17
-0.27	0.24	0.54	F5
-0.16	0.24	0.54	PRKCE
0.58	0.24	0.54	CD36
-0.18	0.24	0.54	CFD
-0.07	0.24	0.54	NFX1
0.39	0.24	0.54	SAMD5
0.21	0.24	0.54	MBNL3
0.1	0.24	0.54	ANKRD52
-0.23	0.24	0.54	MCTP1
0.08	0.24	0.54	C7H5orf15
-0.34	0.24	0.54	MIR27B
-0.13	0.24	0.54	RNF34
0.14	0.24	0.54	NPR2
-0.12	0.24	0.54	ASNA1
0.67	0.24	0.54	FAM19A5
0.12	0.24	0.54	SUPT4H1
0.12	0.24	0.54	RNF43
0.48	0.24	0.54	CSF3
-0.31	0.24	0.54	GDF9
-0.21	0.24	0.54	ACPT
-0.12	0.24	0.54	LRSAM1
0.27	0.24	0.54	ENHO
-0.1	0.24	0.55	NLE1
0.2	0.24	0.55	GNPNAT1
0.29	0.24	0.55	SPRED3
-0.48	0.24	0.55	SH3BGRL2
-0.1	0.24	0.55	YWHAQ
0.12	0.24	0.55	MREG
0.12	0.24	0.55	PECR
0.1	0.24	0.55	UTP4
-0.26	0.24	0.55	NA
-0.28	0.24	0.55	C5AR1
0.4	0.24	0.55	ADGRB2
0.34	0.24	0.55	GPR55
-0.12	0.24	0.55	TMCO1
0.37	0.24	0.55	FZD1
-0.32	0.24	0.55	SPNS2
0.21	0.24	0.55	MYRIP
0.25	0.24	0.55	EXTL2
-0.44	0.24	0.55	EPDR1
0.37	0.24	0.55	MCF2L2
-0.08	0.24	0.55	TARBP1
0.09	0.24	0.55	METAP1
0.32	0.24	0.55	SPATC1
-0.14	0.24	0.55	RPS15
0.11	0.24	0.55	CCNE2
0.23	0.24	0.55	CCDC14
0.3	0.24	0.55	NA
-0.4	0.24	0.55	NA
-0.1	0.24	0.55	NPLOC4
-0.13	0.24	0.55	C17H12orf43
-0.2	0.24	0.55	NA
0.2	0.24	0.55	ARHGAP15
0.56	0.24	0.55	NA
-0.1	0.24	0.55	FARS2
-0.11	0.24	0.55	METAP1D
-0.08	0.24	0.55	POLL
0.09	0.24	0.55	NA
0.09	0.24	0.55	FBXO42
0.27	0.24	0.55	NA
0.1	0.24	0.55	TXNDC9
-0.28	0.24	0.55	GAREM1
0.19	0.24	0.55	GPR183
0.15	0.24	0.55	TTC21B
0.11	0.24	0.55	RBM28
0.12	0.24	0.55	C18H19orf12
-0.17	0.24	0.55	PROCA1
-0.11	0.24	0.55	MSRB2
0.35	0.24	0.55	GJC3
0.36	0.24	0.55	NA
-0.14	0.24	0.55	PIP5K1C
-0.22	0.24	0.55	NA
0.12	0.24	0.55	NA
0.12	0.24	0.55	NEDD1
-0.25	0.24	0.55	EPAS1
-0.07	0.24	0.55	MIR761
-0.07	0.24	0.55	NRDC
0.13	0.24	0.55	HOXA6
0.13	0.24	0.55	HOXA5
0.51	0.24	0.55	NXPH1
-0.06	0.24	0.55	DNAJC14
-0.44	0.24	0.55	LGALS7
0.26	0.24	0.55	ARRDC5
0.11	0.24	0.55	ARMC8
0.09	0.24	0.55	CSTF2
0.96	0.24	0.55	NA
-0.38	0.24	0.55	NA
-0.15	0.24	0.55	ZBTB7B
0.07	0.24	0.55	MTG1
0.18	0.24	0.55	IDNK
0.12	0.24	0.55	PDCL
0.33	0.24	0.55	LOC512541
0.26	0.24	0.55	IFI44L
0.11	0.24	0.55	PRMT9
0.2	0.24	0.55	NA
0.1	0.24	0.55	SLC12A9
0.09	0.24	0.55	UPF3A
0.52	0.24	0.55	NA
-0.23	0.24	0.55	PLCE1
0.45	0.24	0.55	ITIH1
0.16	0.24	0.55	LETM1
-0.13	0.24	0.55	ATP5L
0.32	0.24	0.55	SOX4
-0.15	0.24	0.55	ACYP1
-0.14	0.24	0.55	PIK3C2B
0.21	0.24	0.55	ARMC12
0.75	0.24	0.55	NA
-0.06	0.24	0.55	GNPTG
0.15	0.24	0.55	NA
0.47	0.24	0.55	PPEF1
0.34	0.24	0.55	RHOF
-0.11	0.25	0.55	ACP6
0.24	0.25	0.55	SLC5A6
-0.21	0.25	0.55	GAA
0.36	0.25	0.55	TFR2
0.29	0.25	0.55	FBXO47
0.1	0.25	0.55	GABPA
-0.15	0.25	0.55	MIC1
0.27	0.25	0.55	NA
0.12	0.25	0.55	RBM4B
-0.08	0.25	0.55	SWAP70
0.09	0.25	0.55	DNMT1
0.09	0.25	0.55	EIF3G
0.09	0.25	0.55	ZBTB48
-0.11	0.25	0.55	IFT57
0.35	0.25	0.55	NA
-0.1	0.25	0.55	ARHGAP12
0.14	0.25	0.55	ACTR3B
-0.12	0.25	0.55	TRMT61A
0.19	0.25	0.55	SYN2
-0.13	0.25	0.55	MAP2K3
-0.1	0.25	0.55	RNF166
0.14	0.25	0.55	CBR4
0.21	0.25	0.55	NA
0.21	0.25	0.55	SORBS2
0.49	0.25	0.55	LCNL1
0.49	0.25	0.55	PTGDS
0.07	0.25	0.55	KLHL5
-0.12	0.25	0.55	PRDX5
0.22	0.25	0.55	GPR173
-0.28	0.25	0.55	DUSP1
0.31	0.25	0.55	PCBP3
0.23	0.25	0.55	NA
0.15	0.25	0.55	PDHA1
-0.08	0.25	0.55	SMG6
0.28	0.25	0.55	NA
0.32	0.25	0.55	CDH6
0.12	0.25	0.55	CTU1
-0.09	0.25	0.55	PIAS3
0.1	0.25	0.55	FAM53B
-0.16	0.25	0.55	ARSA
0.23	0.25	0.55	ZNF177
0.19	0.25	0.55	NCOA7
0.19	0.25	0.55	NA
-0.15	0.25	0.55	SPTLC1
0.1	0.25	0.55	RBBP7
-0.09	0.25	0.55	LOC100139548
0.14	0.25	0.55	ABCD3
0.12	0.25	0.55	ASB13
0.2	0.25	0.55	LOC534578
0.2	0.25	0.55	VCAM1
0.14	0.25	0.55	CBLB
-0.09	0.25	0.55	EPG5
0.48	0.25	0.55	DKK2
-0.19	0.25	0.55	MTSS1
0.11	0.25	0.55	MBTD1
-0.47	0.25	0.55	NA
0.22	0.25	0.55	SNX22
-0.13	0.25	0.55	SEC22A
-0.18	0.25	0.55	TUSC1
-0.44	0.25	0.55	MAL
0.14	0.25	0.55	LPGAT1
-0.16	0.25	0.55	TIMM23
-0.38	0.25	0.55	NA
0.12	0.25	0.55	ATP6V0E2
0.12	0.25	0.55	ZNF862
0.31	0.25	0.55	ACTN3
-0.08	0.25	0.55	ZCRB1
-0.4	0.25	0.55	TMEM37
0.13	0.25	0.55	DDHD1
0.41	0.25	0.55	PTPRD
-0.12	0.25	0.55	EPB41
-0.11	0.25	0.55	CFDP1
-0.09	0.25	0.55	NA
0.13	0.25	0.55	LOC101905074
0.48	0.25	0.55	SERPINA11
0.1	0.25	0.55	ENDOV
-0.37	0.25	0.55	HMGCS1
0.52	0.25	0.55	NA
0.08	0.25	0.55	CDC42SE1
-0.09	0.25	0.55	NA
0.24	0.25	0.55	NCF1
0.11	0.25	0.55	SUB1
0.09	0.25	0.55	ATP6V1A
-0.1	0.25	0.55	AP4M1
0.09	0.25	0.55	APPBP2
0.1	0.25	0.55	KDELC2
0.16	0.25	0.55	SAAL1
0.11	0.25	0.55	FARSB
-0.06	0.25	0.55	DDX50
0.24	0.25	0.55	SIDT1
0.08	0.25	0.56	NUP58
-0.29	0.25	0.56	LOC540403
0.41	0.25	0.56	TCF15
-0.32	0.25	0.56	SELP
0.52	0.25	0.56	FRZB
-0.16	0.25	0.56	C10H15orf61
0.08	0.25	0.56	SLC13A3
0.08	0.25	0.56	TP53RK
0.21	0.25	0.56	NA
0.18	0.25	0.56	TBX2
0.11	0.25	0.56	NIFK
0.14	0.25	0.56	TRIM21
0.23	0.25	0.56	NRIP2
-0.62	0.25	0.56	DEFB4A
0.11	0.25	0.56	ATP5A1
0.31	0.25	0.56	GPR31
0.17	0.25	0.56	GBF1
-0.14	0.25	0.56	NA
-0.16	0.25	0.56	AKAP9
-0.43	0.25	0.56	SSUH2
0.2	0.25	0.56	DNAL4
0.11	0.25	0.56	NA
0.26	0.25	0.56	HRASLS
-0.1	0.25	0.56	CFAP36
-0.2	0.25	0.56	CCDC157
-0.14	0.25	0.56	NDUFB11
-0.16	0.25	0.56	TDRP
0.13	0.25	0.56	RMND5B
-0.1	0.25	0.56	REXO4
0.1	0.25	0.56	GTF3C5
-0.31	0.25	0.56	ZBTB7C
0.25	0.25	0.56	NPC2
-0.37	0.25	0.56	NA
-0.09	0.25	0.56	METTL5
0.2	0.25	0.56	NA
0.29	0.25	0.56	MEGF6
0.12	0.25	0.56	ADCK1
-0.11	0.25	0.56	BORCS6
0.29	0.25	0.56	MIR92A-1
0.32	0.25	0.56	NA
-0.15	0.25	0.56	MANEA
0.14	0.25	0.56	LOC520518
-0.1	0.25	0.56	EXT2
-0.1	0.25	0.56	ACCS
0.13	0.25	0.56	BYSL
-0.12	0.25	0.56	NA
0.16	0.25	0.56	SH2B3
-0.15	0.25	0.56	PHACTR1
-0.22	0.25	0.56	SLC47A1
-0.2	0.25	0.56	SLC19A2
0.11	0.25	0.56	RFXAP
-0.14	0.25	0.56	ATP5G2
-0.1	0.25	0.56	LOC613444
-0.1	0.25	0.56	ARF6
-0.11	0.25	0.56	DNLZ
-0.11	0.25	0.56	CARD9
0.34	0.25	0.56	IL15
0.1	0.25	0.56	COMMD10
-0.12	0.25	0.56	FAM126A
-0.09	0.25	0.56	TM9SF2
-0.16	0.25	0.56	NA
0.11	0.25	0.56	POLR3B
0.14	0.25	0.56	AS3MT
-0.08	0.25	0.56	VHL
-0.08	0.25	0.56	BRK1
-0.31	0.25	0.56	PPM1N
0.09	0.25	0.56	NA
0.32	0.25	0.56	SORCS2
0.21	0.25	0.56	VCPKMT
0.13	0.25	0.56	POLR2A
-0.13	0.25	0.56	OGDH
0.07	0.25	0.56	SART3
-0.39	0.25	0.56	SCP2D1
-0.2	0.25	0.56	FAM171A2
-0.34	0.26	0.56	COL8A2
0.1	0.26	0.56	FKBP3
0.56	0.26	0.56	LRRN1
0.28	0.26	0.56	DTYMK
0.21	0.26	0.56	PLBD1
0.32	0.26	0.56	NA
-0.24	0.26	0.56	LOC100138974
0.14	0.26	0.56	METTL1
0.28	0.26	0.56	ASMT
0.2	0.26	0.56	NA
-0.07	0.26	0.56	TCEB1
0.09	0.26	0.56	SPRED2
-0.09	0.26	0.56	ARL2BP
0.08	0.26	0.56	SETDB2
0.08	0.26	0.56	PHF11
-0.07	0.26	0.56	TBCD
0.5	0.26	0.56	NA
-0.31	0.26	0.56	NA
-0.12	0.26	0.56	NA
-0.08	0.26	0.56	RTFDC1
-0.32	0.26	0.56	PIM1
-0.16	0.26	0.56	ICMT
-0.09	0.26	0.56	GMCL1
0.18	0.26	0.56	DBT
0.51	0.26	0.56	XDH
-0.11	0.26	0.56	LAT
-0.11	0.26	0.56	SPNS1
-0.51	0.26	0.56	NGF
0.08	0.26	0.56	RSPRY1
0.2	0.26	0.56	IFITM5
-0.59	0.26	0.56	MS4A14
0.17	0.26	0.56	DISP1
0.42	0.26	0.56	LRRC56
0.16	0.26	0.56	JAG1
-0.12	0.26	0.56	SPG20
-0.22	0.26	0.56	SSR3
0.29	0.26	0.56	NA
0.14	0.26	0.56	NA
-0.09	0.26	0.56	LHPP
-0.13	0.26	0.56	NA
-0.1	0.26	0.56	NUFIP2
0.07	0.26	0.56	PIGO
0.07	0.26	0.56	VCP
0.07	0.26	0.56	FANCG
0.13	0.26	0.56	BMPR1A
0.12	0.26	0.56	PDZK1
0.16	0.26	0.56	ARL10
-0.07	0.26	0.56	CDC42SE2
0.25	0.26	0.56	NA
-0.08	0.26	0.56	WHAMM
0.22	0.26	0.56	TBC1D19
-0.11	0.26	0.56	PPT2
0.15	0.26	0.56	WDR27
-0.43	0.26	0.56	FGB
-0.15	0.26	0.56	MESDC1
0.06	0.26	0.56	SMARCE1
0.09	0.26	0.56	DDX52
0.07	0.26	0.56	ARID1B
0.19	0.26	0.56	BBS7
0.45	0.26	0.56	FAM217A
-0.55	0.26	0.56	RBP1
-0.07	0.26	0.56	AGA
-0.11	0.26	0.56	KDM4B
0.16	0.26	0.56	FAM111B
-0.47	0.26	0.56	BMP3
-0.24	0.26	0.56	HMGCR
0.48	0.26	0.56	U6
-0.35	0.26	0.56	CGREF1
0.09	0.26	0.56	ORC2
0.24	0.26	0.56	CISH
-0.21	0.26	0.56	PLXDC2
0.17	0.26	0.56	SNORD31
-0.09	0.26	0.56	CAPZB
-0.7	0.26	0.56	TCN1
0.4	0.26	0.56	COLQ
0.48	0.26	0.56	NA
0.3	0.26	0.56	ADRA1D
0.2	0.26	0.56	CALML4
0.26	0.26	0.56	ATP2A1
-0.25	0.26	0.56	EFNB2
0.19	0.26	0.56	SDCCAG8
-0.12	0.26	0.56	CPTP
-0.12	0.26	0.56	PUSL1
-0.15	0.26	0.56	HAUS7
-0.13	0.26	0.56	LOC781863
-0.07	0.26	0.56	RNF139
0.29	0.26	0.56	SERPINF1
0.19	0.26	0.56	LRBA
-0.25	0.26	0.56	NA
-0.12	0.26	0.56	EXOC5
0.08	0.26	0.56	CUL9
-1.3	0.26	0.56	NA
-0.43	0.26	0.56	MRAP2
-0.23	0.26	0.56	PLIN3
-0.18	0.26	0.56	SEC61B
0.17	0.26	0.56	ZBTB46
0.24	0.26	0.56	NA
0.28	0.26	0.56	SAMD14
0.48	0.26	0.56	SP6
-0.26	0.26	0.56	IFIT2
-0.14	0.26	0.56	U6
0.29	0.26	0.57	HNRNPLL
-0.57	0.26	0.57	HPSE
0.12	0.26	0.57	HSPB11
-0.7	0.26	0.57	CCL11
0.26	0.26	0.57	SNORD95
0.16	0.26	0.57	LOC101909901
-0.39	0.26	0.57	TENM2
-0.13	0.26	0.57	KDM7A
0.17	0.26	0.57	ANKRD44
-0.09	0.26	0.57	NACC2
-0.09	0.26	0.57	C11H9orf69
-0.48	0.26	0.57	NXPE4
-0.35	0.26	0.57	RBP4
0.1	0.26	0.57	PNKD
-0.12	0.26	0.57	PNRC1
0.27	0.26	0.57	AMZ1
0.19	0.26	0.57	C16H1orf74
-0.12	0.26	0.57	ZNF565
0.45	0.26	0.57	NA
-0.2	0.26	0.57	SLK
0.14	0.26	0.57	COG5
-0.21	0.26	0.57	NA
-0.13	0.26	0.57	KPTN
-0.35	0.26	0.57	NA
0.3	0.26	0.57	NA
0.22	0.26	0.57	RAPGEFL1
0.17	0.26	0.57	TRIM6
0.45	0.26	0.57	NA
0.34	0.26	0.57	NA
0.46	0.26	0.57	RBP7
-0.1	0.26	0.57	MMAA
-0.14	0.26	0.57	BMP2K
-0.12	0.26	0.57	KLHL26
0.11	0.26	0.57	CCT5
0.27	0.26	0.57	ABO
0.25	0.26	0.57	STK17B
0.37	0.26	0.57	FCRL1
0.16	0.26	0.57	SRGAP3
0.48	0.26	0.57	A2ML1
-0.13	0.26	0.57	TBCE
0.19	0.26	0.57	CEP85L
0.06	0.26	0.57	RANBP10
-0.11	0.26	0.57	TRPC4AP
-0.12	0.26	0.57	BRF2
0.39	0.26	0.57	NA
0.22	0.26	0.57	LOC521207
-0.29	0.26	0.57	KLHL35
0.34	0.26	0.57	SAMD13
0.34	0.26	0.57	SAMD13
-0.08	0.26	0.57	ATRN
-0.51	0.26	0.57	BOLL
-0.09	0.26	0.57	DARS
0.24	0.26	0.57	POC1A
0.1	0.26	0.57	PMPCA
0.19	0.26	0.57	PHKA2
-0.54	0.26	0.57	NA
-0.2	0.26	0.57	TUBB6
-0.08	0.26	0.57	DIP2B
0.34	0.26	0.57	DLX3
0.41	0.26	0.57	LRRC6
0.11	0.26	0.57	UROD
